"","src","lambda","dr","ol"
"1",1,10,0,0.56915283203125
"2",2,10,0,0.56915283203125
"3",3,10,0,0.56915283203125
"4",4,10,0,0.56915283203125
"5",5,10,0,0.56915283203125
"6",6,10,0,0.56915283203125
"7",7,10,0,0.56915283203125
"8",8,10,0,0.56915283203125
"9",9,10,0,0.56915283203125
"10",10,10,0,0.56915283203125
"11",1,10,0,0.56915283203125
"12",2,10,0,0.56915283203125
"13",3,10,0,0.56915283203125
"14",4,10,0,0.56915283203125
"15",5,10,0,0.56915283203125
"16",6,10,0,0.56915283203125
"17",7,10,0,0.56915283203125
"18",8,10,0,0.56915283203125
"19",9,10,0,0.56915283203125
"20",10,10,0,0.56915283203125
"21",1,10,0,0.56915283203125
"22",2,10,0,0.56915283203125
"23",3,10,0,0.56915283203125
"24",4,10,0,0.56915283203125
"25",5,10,0,0.56915283203125
"26",6,10,0,0.56915283203125
"27",7,10,0,0.56915283203125
"28",8,10,0,0.56915283203125
"29",9,10,0,0.56915283203125
"30",10,10,0,0.56915283203125
"31",1,10,0,0.56915283203125
"32",2,10,0,0.56915283203125
"33",3,10,0,0.56915283203125
"34",4,10,0,0.56915283203125
"35",5,10,0,0.56915283203125
"36",6,10,0,0.56915283203125
"37",7,10,0,0.56915283203125
"38",8,10,0,0.56915283203125
"39",9,10,0,0.56915283203125
"40",10,10,0,0.56915283203125
"41",1,10,0,0.56915283203125
"42",2,10,0,0.56915283203125
"43",3,10,0,0.56915283203125
"44",4,10,0,0.56915283203125
"45",5,10,0,0.56915283203125
"46",6,10,0,0.56915283203125
"47",7,10,0,0.56915283203125
"48",8,10,0,0.56915283203125
"49",9,10,0,0.56915283203125
"50",10,10,0,0.56915283203125
"51",1,10,0,0.56915283203125
"52",2,10,0,0.56915283203125
"53",3,10,0,0.56915283203125
"54",4,10,0,0.56915283203125
"55",5,10,0,0.56915283203125
"56",6,10,0,0.56915283203125
"57",7,10,0,0.56915283203125
"58",8,10,0,0.56915283203125
"59",9,10,0,0.56915283203125
"60",10,10,0,0.56915283203125
"61",1,10,0,0.56915283203125
"62",2,10,0,0.56915283203125
"63",3,10,0,0.56915283203125
"64",4,10,0,0.56915283203125
"65",5,10,0,0.56915283203125
"66",6,10,0,0.56915283203125
"67",7,10,0,0.56915283203125
"68",8,10,0,0.56915283203125
"69",9,10,0,0.56915283203125
"70",10,10,0,0.56915283203125
"71",1,10,0,0.56915283203125
"72",2,10,0,0.56915283203125
"73",3,10,0,0.56915283203125
"74",4,10,0,0.56915283203125
"75",5,10,0,0.56915283203125
"76",6,10,0,0.56915283203125
"77",7,10,0,0.56915283203125
"78",8,10,0,0.56915283203125
"79",9,10,0,0.56915283203125
"80",10,10,0,0.56915283203125
"81",1,10,0,0.56915283203125
"82",2,10,0,0.56915283203125
"83",3,10,0,0.56915283203125
"84",4,10,0,0.56915283203125
"85",5,10,0,0.56915283203125
